gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group B,bachelor's degree,standard,1,72,72,74
female,group C,some college,standard,0,69,90,88
female,group B,master's degree,standard,1,90,95,93
male,group A,associate's degree,free/reduced,1,47,57,44
male,group C,some college,standard,1,76,78,75
female,group B,associate's degree,standard,1,71,83,78
female,group B,some college,standard,0,88,95,92
male,group B,some college,free/reduced,1,40,43,39
male,group D,high school,free/reduced,0,64,64,67
female,group B,high school,free/reduced,1,38,60,50
male,group C,associate's degree,standard,1,58,54,52
male,group D,associate's degree,standard,1,40,52,43
female,group B,high school,standard,1,65,81,73
male,group A,some college,standard,0,78,72,70
female,group A,master's degree,standard,1,50,53,58
female,group C,some high school,standard,1,69,75,78
male,group C,high school,standard,1,88,89,86
female,group B,some high school,free/reduced,1,18,32,28
male,group C,master's degree,free/reduced,0,46,42,46
female,group C,associate's degree,free/reduced,1,54,58,61
male,group D,high school,standard,1,66,69,63
female,group B,some college,free/reduced,0,65,75,70
male,group D,some college,standard,1,44,54,53
female,group C,some high school,standard,1,69,73,73
male,group D,bachelor's degree,free/reduced,0,74,71,80
male,group A,master's degree,free/reduced,1,73,74,72
male,group B,some college,standard,1,69,54,55
female,group C,bachelor's degree,standard,1,67,69,75
male,group C,high school,standard,1,70,70,65
female,group D,master's degree,standard,1,62,70,75
female,group D,some college,standard,1,69,74,74
female,group B,some college,standard,1,63,65,61
female,group E,master's degree,free/reduced,1,56,72,65
male,group D,some college,standard,1,40,42,38
male,group E,some college,standard,1,97,87,82
male,group E,associate's degree,standard,0,81,81,79
female,group D,associate's degree,standard,1,74,81,83
female,group D,some high school,free/reduced,1,50,64,59
female,group D,associate's degree,free/reduced,0,75,90,88
male,group B,associate's degree,free/reduced,1,57,56,57
male,group C,associate's degree,free/reduced,1,55,61,54
female,group C,associate's degree,standard,1,58,73,68
female,group B,associate's degree,standard,1,53,58,65
male,group B,some college,free/reduced,0,59,65,66
female,group E,associate's degree,free/reduced,1,50,56,54
male,group B,associate's degree,standard,1,65,54,57
female,group A,associate's degree,standard,0,55,65,62
female,group C,high school,standard,1,66,71,76
female,group D,associate's degree,free/reduced,0,57,74,76
male,group C,high school,standard,0,82,84,82
male,group E,some college,standard,1,53,55,48
male,group E,associate's degree,free/reduced,0,77,69,68
male,group C,some college,standard,1,53,44,42
male,group D,high school,standard,1,88,78,75
female,group C,some high school,free/reduced,0,71,84,87
female,group C,high school,free/reduced,1,33,41,43
female,group E,associate's degree,standard,0,82,85,86
male,group D,associate's degree,standard,1,52,55,49
male,group D,some college,standard,0,58,59,58
female,group C,some high school,free/reduced,1,0,17,10
male,group E,bachelor's degree,free/reduced,0,79,74,72
male,group A,some high school,free/reduced,1,39,39,34
male,group A,associate's degree,free/reduced,1,62,61,55
female,group C,associate's degree,standard,1,69,80,71
female,group D,some high school,standard,1,59,58,59
male,group B,some high school,standard,1,67,64,61
male,group D,some high school,free/reduced,1,45,37,37
female,group C,some college,standard,1,60,72,74
male,group B,associate's degree,free/reduced,1,61,58,56
female,group C,associate's degree,standard,1,39,64,57
female,group D,some college,free/reduced,0,58,63,73
male,group D,some college,standard,0,63,55,63
female,group A,associate's degree,free/reduced,1,41,51,48
male,group C,some high school,free/reduced,1,61,57,56
male,group C,some high school,standard,1,49,49,41
male,group B,associate's degree,free/reduced,1,44,41,38
male,group E,some high school,standard,1,30,26,22
male,group A,bachelor's degree,standard,0,80,78,81
female,group D,some high school,standard,0,61,74,72
female,group E,master's degree,standard,1,62,68,68
female,group B,associate's degree,standard,1,47,49,50
male,group B,high school,free/reduced,1,49,45,45
male,group A,some college,free/reduced,0,50,47,54
male,group E,associate's degree,standard,1,72,64,63
male,group D,high school,free/reduced,1,42,39,34
female,group C,some college,standard,1,73,80,82
female,group C,some college,free/reduced,1,76,83,88
female,group D,associate's degree,standard,1,71,71,74
female,group A,some college,standard,1,58,70,67
female,group D,some high school,standard,1,73,86,82
female,group C,bachelor's degree,standard,1,65,72,74
male,group C,high school,free/reduced,1,27,34,36
male,group C,high school,standard,1,71,79,71
male,group C,associate's degree,free/reduced,0,43,45,50
female,group B,some college,standard,1,79,86,92
male,group C,associate's degree,free/reduced,0,78,81,82
male,group B,some high school,standard,0,65,66,62
female,group E,some college,standard,0,63,72,70
female,group D,some college,free/reduced,1,58,67,62
female,group D,bachelor's degree,standard,1,65,67,62
male,group B,some college,standard,1,79,67,67
male,group D,bachelor's degree,standard,0,68,74,74
female,group D,associate's degree,standard,1,85,91,89
male,group B,high school,standard,0,60,44,47
male,group C,some college,standard,0,98,86,90
female,group C,some college,standard,1,58,67,72
female,group D,master's degree,standard,1,87,100,100
male,group E,associate's degree,standard,0,66,63,64
female,group B,associate's degree,free/reduced,1,52,76,70
female,group B,some high school,standard,1,70,64,72
female,group D,associate's degree,free/reduced,0,77,89,98
male,group C,high school,standard,1,62,55,49
male,group A,associate's degree,standard,1,54,53,47
female,group D,some college,standard,1,51,58,54
female,group E,bachelor's degree,standard,0,99,100,100
male,group C,high school,standard,1,84,77,74
